Prompt,Hindi Translation,Code-Mixed (Hinglish),Intent,Context,Tags,Tamil Translation,Bengali Translation,Marathi Translation,Urdu Translation,Telugu Translation,valid_prompt,Symptom,Sentiment,Language
What are the symptoms of PMS?,पीएमएस के लक्षण क्या हैं?,What are the symptoms of PMS ka kya solution hai?,mental_wellness,general,general,PMS இன் அறிகுறிகள் என்ன?,পিএমএসের লক্ষণগুলি কী কী?,पीएमएसची लक्षणे कोणती आहेत?,پی ایم ایس کی علامات کیا ہیں؟,PMS యొక్క లక్షణాలు ఏమిటి?,TRUE,anxiety,positive,Hinglish
Why do I have cramps during my period?,मुझे अपनी अवधि के दौरान ऐंठन क्यों है?,Why do I have cramps during my period ka kya solution hai?,symptom_query,period health,"menstruation, pain, symptom",எனது காலகட்டத்தில் எனக்கு ஏன் பிடிப்புகள் உள்ளன?,আমার পিরিয়ডের সময় কেন বাধা আছে?,माझ्या कालावधीत माझ्याकडे पेटके का आहेत?,میں اپنی مدت کے دوران درد کیوں کرتا ہوں؟,నా కాలంలో నాకు తిమ్మిరి ఎందుకు ఉంది?,TRUE,irritability,positive,Hinglish
Is breast tenderness normal before periods?,क्या पीरियड से पहले स्तन कोमलता सामान्य है?,Is breast tenderness normal before periods ka kya solution hai?,symptom_query,general,general,காலங்களுக்கு முன் மார்பக மென்மை இயல்பானதா?,পিরিয়ডের আগে কি স্তনের কোমলতা স্বাভাবিক?,कालावधी आधी स्तन कोमलता सामान्य आहे का?,کیا مدت سے پہلے چھاتی کوملتا معمول ہے؟,కాలానికి ముందు రొమ్ము సున్నితత్వం సాధారణమా?,TRUE,cramps,neutral,Urdu
Why does my lower back hurt during menstruation?,मासिक धर्म के दौरान मेरी पीठ के निचले हिस्से में चोट क्यों लगती है?,Why does my lower back hurt during menstruation ka kya solution hai?,mental_wellness,general,general,மாதவிடாயின் போது என் கீழ் முதுகு ஏன் காயப்படுத்துகிறது?,কেন আমার নীচের পিঠটি stru তুস্রাবের সময় আঘাত করে?,मासिक पाळी दरम्यान माझ्या खालच्या पाठीला दुखापत का होते?,ماہواری کے دوران میری نچلی کمر کو تکلیف کیوں ہوتی ہے؟,Stru తుస్రావం సమయంలో నా వెనుక వీపు ఎందుకు బాధపడుతుంది?,TRUE,anxiety,negative,Urdu
What causes bloating before a period?,एक अवधि से पहले सूजन का क्या कारण है?,What causes bloating before a period ka kya solution hai?,symptom_query,period health,"menstruation, pain, symptom",ஒரு காலத்திற்கு முன்பே வீங்கியதற்கு என்ன காரணம்?,একটি পিরিয়ডের আগে ফুলে যাওয়ার কারণ কী?,कालावधीपूर्वी कशामुळे फुगणे होते?,ایک مدت سے پہلے پھولنے کی کیا وجہ ہے؟,కాలానికి ముందు ఉబ్బరం కారణమయ్యేది ఏమిటి?,TRUE,cramps,positive,Hindi
Is spotting between periods a concern?,क्या पीरियड्स के बीच स्पॉटिंग एक चिंता का विषय है?,Is spotting between periods a concern ka kya solution hai?,symptom_query,period health,"menstruation, pain, symptom",காலங்களுக்கு இடையில் இருப்பதைக் கண்டுபிடிப்பது கவலையா?,পিরিয়ডের মধ্যে স্পট করা কি উদ্বেগের বিষয়?,कालावधी दरम्यान स्पॉटिंग ही चिंता आहे का?,کیا ادوار کے درمیان نمایاں کرنا ایک تشویش ہے؟,కాలాల మధ్య గుర్తించడం ఆందోళన కలిగిస్తుందా?,TRUE,anxiety,positive,English
Why do I feel nauseous during my cycle?,मैं अपने चक्र के दौरान क्यों मिचली महसूस करता हूं?,Why do I feel nauseous during my cycle ka kya solution hai?,mental_wellness,general,general,எனது சுழற்சியின் போது நான் ஏன் குமட்டலை உணர்கிறேன்?,আমার চক্রের সময় কেন আমি বমি বমি ভাব বোধ করি?,माझ्या चक्रात मला मळमळ का वाटते?,میں اپنے چکر کے دوران کیوں متلی محسوس کرتا ہوں؟,నా చక్రంలో నేను ఎందుకు వికారం అనుభూతి చెందుతున్నాను?,TRUE,acne,neutral,Hindi
What is considered a heavy period?,एक भारी अवधि क्या माना जाता है?,What is considered a heavy period ka kya solution hai?,mental_wellness,general,general,கனமான காலம் என்று கருதப்படுவது என்ன?,ভারী সময় হিসাবে বিবেচিত কী?,जबरदस्त कालावधी काय मानला जातो?,بھاری مدت کو کیا سمجھا جاتا ہے؟,భారీ కాలంగా పరిగణించబడుతుంది?,TRUE,irritability,neutral,Telugu
Can periods cause headaches?,क्या अवधि सिरदर्द का कारण बन सकती है?,Can periods cause headaches ka kya solution hai?,symptom_query,general,general,காலங்கள் தலைவலியை ஏற்படுத்த முடியுமா?,পিরিয়ডগুলি মাথাব্যথার কারণ হতে পারে?,कालावधीमुळे डोकेदुखी होऊ शकते?,کیا ادوار سر درد کا سبب بن سکتا ہے؟,కాలాలు తలనొప్పికి కారణమవుతాయా?,TRUE,stress,negative,Hinglish
Why do I have acne before my period?,मेरी अवधि से पहले मेरे पास मुँहासे क्यों हैं?,Why do I have acne before my period ka kya solution hai?,mental_wellness,general,general,எனது காலத்திற்கு முன்பு எனக்கு ஏன் முகப்பரு இருக்கிறது?,আমার পিরিয়ডের আগে কেন ব্রণ আছে?,माझ्या कालावधीपूर्वी माझ्याकडे मुरुम का आहे?,میری مدت سے پہلے میرے پاس مہاسے کیوں ہیں؟,నా కాలానికి ముందు నాకు మొటిమలు ఎందుకు ఉన్నాయి?,TRUE,mood swings,negative,Telugu
What should I eat during my period?,मुझे अपनी अवधि के दौरान क्या खाना चाहिए?,What should I eat during my period ka kya solution hai?,diet_advice,general,general,எனது காலகட்டத்தில் நான் என்ன சாப்பிட வேண்டும்?,আমার পিরিয়ডের সময় আমার কী খাওয়া উচিত?,माझ्या काळात मी काय खावे?,مجھے اپنے دور میں کیا کھانا چاہئے؟,నా కాలంలో నేను ఏమి తినాలి?,TRUE,stress,neutral,Hinglish
Are bananas good for cramps?,क्या केले ऐंठन के लिए अच्छे हैं?,Are bananas good for cramps ka kya solution hai?,symptom_query,period health,"menstruation, pain, symptom",வாழைப்பழங்கள் பிடிப்புகளுக்கு நல்லதா?,কলা কি ক্র্যাম্পের জন্য ভাল?,केळी पेटके चांगले आहेत का?,کیا کیلے درد کے ل good اچھے ہیں؟,అరటిపండ్లు తిమ్మిరికి మంచివిగా ఉన్నాయా?,TRUE,bloating,positive,Hinglish
Should I avoid caffeine during periods?,क्या मुझे अवधि के दौरान कैफीन से बचना चाहिए?,Should I avoid caffeine during periods ka kya solution hai?,mental_wellness,general,general,காலங்களில் நான் காஃபின் தவிர்க்க வேண்டுமா?,আমি কি পিরিয়ড চলাকালীন ক্যাফিন এড়ানো উচিত?,मी कालखंडात कॅफिन टाळावे?,کیا مجھے ادوار کے دوران کیفین سے گریز کرنا چاہئے؟,కాలాల్లో నేను కెఫిన్‌ను నివారించాలా?,TRUE,headache,positive,Hindi
Can chocolate help during PMS?,क्या चॉकलेट पीएमएस के दौरान मदद कर सकता है?,Can chocolate help during PMS ka kya solution hai?,mental_wellness,general,general,PMS இன் போது சாக்லேட் உதவ முடியுமா?,চকোলেট পিএমএসের সময় সহায়তা করতে পারে?,पीएमएस दरम्यान चॉकलेट मदत करू शकते?,کیا پی ایم ایس کے دوران چاکلیٹ مدد کرسکتا ہے؟,PMS సమయంలో చాక్లెట్ సహాయం చేయగలదా?,TRUE,irritability,neutral,Hinglish
What drinks reduce bloating in periods?,क्या पेय पीरियड्स में सूजन को कम करते हैं?,What drinks reduce bloating in periods ka kya solution hai?,symptom_query,period health,"menstruation, pain, symptom",என்ன பானங்கள் காலங்களில் வீக்கத்தை குறைக்கின்றன?,কি পানীয়গুলি পিরিয়ডে ফুলে যাওয়া হ্রাস করে?,कोणत्या पेयांनी कालावधीत फुगणे कमी केले?,کون سے مشروبات ادوار میں اپھارہ کم کرتے ہیں؟,ఏ పానీయాలు కాలాల్లో ఉబ్బరం తగ్గిస్తాయి?,TRUE,mood swings,positive,Urdu
Are dairy products safe to eat during menstruation?,क्या मासिक धर्म के दौरान डेयरी उत्पाद खाने के लिए सुरक्षित हैं?,Are dairy products safe to eat during menstruation ka kya solution hai?,diet_advice,general,general,பால் பொருட்கள் மாதவிடாயின் போது சாப்பிட பாதுகாப்பானதா?,Stru তুস্রাবের সময় দুগ্ধজাত পণ্যগুলি কি খেতে নিরাপদ?,मासिक पाळी दरम्यान दुग्धजन्य पदार्थ खाण्यासाठी सुरक्षित आहेत का?,کیا دودھ کی مصنوعات حیض کے دوران کھانے کے لئے محفوظ ہیں؟,Stru తుస్రావం సమయంలో పాడి ఉత్పత్తులు తినడానికి సురక్షితంగా ఉన్నాయా?,TRUE,cramps,negative,English
What fruits are helpful during periods?,अवधि के दौरान कौन से फल सहायक होते हैं?,What fruits are helpful during periods ka kya solution hai?,mental_wellness,general,general,காலங்களில் என்ன பழங்கள் உதவியாக இருக்கும்?,পিরিয়ড চলাকালীন কোন ফলগুলি সহায়ক?,कालावधी दरम्यान कोणती फळे उपयुक्त असतात?,ادوار کے دوران کون سے پھل مددگار ثابت ہوتے ہیں؟,కాలాలలో ఏ పండ్లు సహాయపడతాయి?,TRUE,stress,neutral,Hindi
Is spicy food bad during menstruation?,क्या मासिक धर्म के दौरान मसालेदार भोजन खराब है?,Is spicy food bad during menstruation ka kya solution hai?,diet_advice,general,general,மாதவிடாயின் போது காரமான உணவு மோசமாக இருக்கிறதா?,মশলাদার খাবারটি stru তুস্রাবের সময় খারাপ?,मासिक पाळी दरम्यान मसालेदार अन्न खराब आहे का?,کیا حیض کے دوران مسالہ دار کھانا خراب ہے؟,Stru తుస్రావం సమయంలో మసాలా ఆహారం చెడ్డదా?,TRUE,headache,negative,Telugu
Can drinking water help with cramps?,क्या पीने का पानी ऐंठन के साथ मदद कर सकता है?,Can drinking water help with cramps ka kya solution hai?,symptom_query,period health,"menstruation, pain, symptom",பிடிப்புகளுக்கு குடிநீர் உதவ முடியுமா?,জল খাওয়ানো কি বাধা দিয়ে সাহায্য করতে পারে?,पिण्याचे पाणी पेटके सह मदत करू शकते?,کیا پینے کا پانی درد میں مدد کرسکتا ہے؟,తాగునీరు తిమ్మిరితో సహాయపడుతుందా?,TRUE,irritability,neutral,Telugu
What is a good diet plan for PMS?,पीएमएस के लिए एक अच्छी आहार योजना क्या है?,What is a good diet plan for PMS ka kya solution hai?,diet_advice,self-care,"coping, remedy, self-help",PMS க்கு நல்ல உணவுத் திட்டம் என்ன?,পিএমএসের জন্য একটি ভাল ডায়েট পরিকল্পনা কী?,पीएमएससाठी चांगली आहार योजना काय आहे?,پی ایم ایس کے لئے ایک اچھا غذا کا منصوبہ کیا ہے؟,PMS కోసం మంచి డైట్ ప్లాన్ అంటే ఏమిటి?,TRUE,stress,negative,Hinglish
Why do I feel emotional before my period?,मैं अपनी अवधि से पहले भावुक क्यों महसूस करता हूं?,Why do I feel emotional before my period ka kya solution hai?,mental_wellness,general,general,எனது காலத்திற்கு முன்பே நான் ஏன் உணர்ச்சிவசப்படுகிறேன்?,আমার পিরিয়ডের আগে কেন আমি সংবেদনশীল বোধ করি?,माझ्या कालावधीपूर्वी मला भावनिक का वाटते?,میں اپنی مدت سے پہلے جذباتی کیوں محسوس کرتا ہوں؟,నా కాలానికి ముందు నేను ఎందుకు భావోద్వేగానికి లోనవుతాను?,TRUE,low energy,positive,Hinglish
How can I manage period mood swings?,मैं पीरियड मिजाज का प्रबंधन कैसे कर सकता हूं?,How can I manage period mood swings ka kya solution hai?,mental_wellness,mental wellness,"emotion, mental health, stress",கால மனநிலை ஊசலாட்டங்களை நான் எவ்வாறு நிர்வகிக்க முடியும்?,আমি কীভাবে পিরিয়ড মেজাজের দোল পরিচালনা করতে পারি?,मी पीरियड मूड स्विंग्स कसे व्यवस्थापित करू?,میں کس طرح مدت کے موڈ کے جھولوں کا انتظام کرسکتا ہوں؟,నేను పీరియడ్ మూడ్ స్వింగ్స్‌ను ఎలా నిర్వహించగలను?,TRUE,cramps,neutral,Hinglish
Is anxiety before periods normal?,अवधि सामान्य से पहले चिंता है?,Is anxiety before periods normal ka kya solution hai?,mental_wellness,mental wellness,"emotion, mental health, stress",காலங்களுக்கு முன் கவலை இயல்பானதா?,পিরিয়ডের আগে উদ্বেগ কি স্বাভাবিক?,कालखंडातील चिंता सामान्य आहे का?,کیا مدت معمول سے پہلے بے چینی ہے؟,కాలానికి ముందు ఆందోళన సాధారణమా?,TRUE,mood swings,neutral,Telugu
What can help with period-related depression?,अवधि से संबंधित अवसाद के साथ क्या मदद कर सकता है?,What can help with period-related depression ka kya solution hai?,mental_wellness,mental wellness,"emotion, mental health, stress",காலம் தொடர்பான மனச்சோர்வுக்கு என்ன உதவ முடியும்?,পিরিয়ড-সম্পর্কিত হতাশায় কী সাহায্য করতে পারে?,कालावधीशी संबंधित औदासिन्यास काय मदत करू शकते?,مدت سے متعلق افسردگی میں کیا مدد مل سکتی ہے؟,పీరియడ్-సంబంధిత నిరాశకు ఏమి సహాయపడుతుంది?,TRUE,headache,positive,Telugu
Does stress delay periods?,क्या तनाव में देरी होती है?,Does stress delay periods ka kya solution hai?,mental_wellness,mental wellness,"emotion, mental health, stress",மன அழுத்த தாமத காலமா?,স্ট্রেস বিলম্বের সময়কাল?,तणाव कालावधी विलंब करते?,کیا تناؤ میں تاخیر کی مدت ہوتی ہے؟,ఒత్తిడి ఆలస్యం కాలాలు?,TRUE,irritability,negative,Marathi
Can meditation help during menstruation?,क्या मासिक धर्म के दौरान ध्यान मदद कर सकता है?,Can meditation help during menstruation ka kya solution hai?,mental_wellness,general,general,மாதவிடாயின் போது தியான உதவ முடியுமா?,ধ্যান মাসিক সময় সাহায্য করতে পারে?,मासिक पाळी दरम्यान ध्यान मदत करू शकते?,کیا ماہواری کے دوران مراقبہ مدد کرسکتا ہے؟,Stru తుస్రావం సమయంలో ధ్యానం సహాయం చేయగలదా?,TRUE,bloating,positive,Urdu
Why do I feel overwhelmed before periods?,मैं अवधि से पहले अभिभूत क्यों महसूस करता हूं?,Why do I feel overwhelmed before periods ka kya solution hai?,mental_wellness,general,general,காலங்களுக்கு முன்பே நான் ஏன் அதிகமாக உணர்கிறேன்?,আমি কেন পিরিয়ডের আগে অভিভূত বোধ করি?,पूर्णविरामापूर्वी मी भारावून का जाणवते?,میں ادوار سے پہلے کیوں مغلوب ہوں؟,కాలానికి ముందు నేను ఎందుకు మునిగిపోయాను?,TRUE,irritability,negative,Urdu
Can periods affect mental clarity?,क्या अवधि मानसिक स्पष्टता को प्रभावित कर सकती है?,Can periods affect mental clarity ka kya solution hai?,mental_wellness,general,general,காலங்கள் மன தெளிவை பாதிக்குமா?,পিরিয়ডগুলি মানসিক স্বচ্ছতা প্রভাবিত করতে পারে?,कालावधी मानसिक स्पष्टतेवर परिणाम करू शकतात?,کیا ادوار ذہنی وضاحت کو متاثر کرسکتا ہے؟,కాలాలు మానసిక స్పష్టతను ప్రభావితం చేస్తాయా?,TRUE,anxiety,neutral,Tamil
How to deal with irritability during PMS?,पीएमएस के दौरान चिड़चिड़ापन से कैसे निपटें?,How to deal with irritability during PMS ka kya solution hai?,mental_wellness,general,general,PMS இன் போது எரிச்சலை எவ்வாறு கையாள்வது?,কীভাবে পিএমএসের সময় বিরক্তিকর মোকাবেলা করবেন?,पीएमएस दरम्यान चिडचिडेपणाचा सामना कसा करावा?,پی ایم ایس کے دوران چڑچڑاپن سے نمٹنے کے لئے کیسے؟,PMS సమయంలో చిరాకుతో ఎలా వ్యవహరించాలి?,TRUE,stress,negative,English
Is it normal to cry easily before a period?,क्या किसी अवधि से पहले आसानी से रोना सामान्य है?,Is it normal to cry easily before a period ka kya solution hai?,mental_wellness,mental wellness,"emotion, mental health, stress",ஒரு காலத்திற்கு முன்பே எளிதாக அழுவது இயல்பானதா?,পিরিয়ডের আগে সহজেই কাঁদানো কি স্বাভাবিক?,कालावधीपूर्वी सहजपणे रडणे सामान्य आहे का?,کیا کسی مدت سے پہلے آسانی سے رونا عام ہے؟,కాలానికి ముందు సులభంగా ఏడవడం సాధారణమేనా?,TRUE,acne,neutral,Telugu
Can I exercise during my period?,क्या मैं अपनी अवधि के दौरान व्यायाम कर सकता हूं?,Can I exercise during my period ka kya solution hai?,exercise_guidance,self-care,"coping, remedy, self-help",எனது காலகட்டத்தில் நான் உடற்பயிற்சி செய்யலாமா?,আমি কি আমার সময়কালে অনুশীলন করতে পারি?,मी माझ्या कालावधीत व्यायाम करू शकतो?,کیا میں اپنی مدت کے دوران ورزش کرسکتا ہوں؟,నా కాలంలో నేను వ్యాయామం చేయవచ్చా?,TRUE,headache,positive,English
